modern_pdes,comet_id,comet_name,perihelion_date,apparition_year,is_periodic,raw_status_source,event_case,current_magnitude_provenance,sbdb_M1,sbdb_K1,sbdb_nuclear_biased,current_modeled_peak_mag,priority
289P,289P,289P/Blanpain,1850-11-02,1850,True,AERITH,expected_not_seen,horizons_tmag,22.0,4.5,True,18.809,high_nuclear_biased
54P,54P,54P/de Vico-Swift-NEAT,1850-02-14,1850,True,AERITH,expected_not_seen,horizons_tmag,14.2,12.25,False,16.794,medium_sbdb_good
1850 J1,C/1850 J1,C/1850 J1 (Petersen),1850-07-24,1850,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1850 Q1,C/1850 Q1,C/1850 Q1 (Bond),1850-10-19,1850,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
4P,4P,4P/Faye,1851-04-02,1851,True,AERITH,expected_seen,horizons_tmag,11.0,9.5,False,15.21,medium_sbdb_good
5D,5D,5D/Brorsen,1851-09-24,1851,True,AERITH,expected_not_seen,horizons_tmag,8.3,10.0,False,7.146,medium_sbdb_good
6P,6P,6P/d'Arrest,1851-07-09,1851,True,AERITH,unexpected_seen,horizons_tmag,15.9,8.5,False,15.736,medium_sbdb_good
1851 P1,C/1851 P1,C/1851 P1 (Brorsen),1851-08-26,1851,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1851 U1,C/1851 U1,C/1851 U1 (Brorsen),1851-10-01,1851,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
20D,20D,20D/Westphal,1852-10-13,1852,True,AERITH,unexpected_seen,horizons_tmag,8.8,10.0,False,8.864,medium_sbdb_good
2P,2P,2P/Encke,1852-03-15,1852,True,AERITH,expected_seen,horizons_tmag,15.6,4.5,True,13.0,high_nuclear_biased
3D,3D,3D/Biela,1852-09-23,1852,True,AERITH,expected_seen,horizons_tmag,7.1,10.0,False,7.319,medium_sbdb_good
7P,7P,7P/Pons-Winnecke,1852-10-12,1852,True,AERITH,retrospective_not_observed,horizons_tmag,16.0,4.5,True,16.121,high_nuclear_biased
1852 K1,C/1852 K1,C/1852 K1 (Chacornac),1852-04-20,1852,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
26P,26P,26P/Grigg-Skjellerup,1853-01-16,1853,True,AERITH,retrospective_not_observed,horizons_tmag,16.5,5.5,True,16.7,high_nuclear_biased
1853 E1,C/1853 E1,C/1853 E1 (Secchi),1853-02-24,1853,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1853 G1,C/1853 G1,C/1853 G1 (Schweizer),1853-05-10,1853,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1853 L1,C/1853 L1,C/1853 L1 (Klinkerfues),1853-09-02,1853,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1853 R1,C/1853 R1,C/1853 R1 (Bruhns),1853-10-17,1853,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
80P,80P,80P/Peters-Hartley,1854-04-15,1854,True,AERITH,expected_not_seen,horizons_tmag,11.8,15.75,False,14.27,medium_sbdb_good
1853 W1,C/1853 W1,C/1853 W1 (van Arsdale),1854-01-04,1854,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1854 F1,C/1854 F1,C/1854 F1 (Great comet),1854-03-24,1854,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1854 L1,C/1854 L1,C/1854 L1 (Klinkerfues),1854-06-22,1854,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1854 R1,C/1854 R1,C/1854 R1 (Klinkerfues),1854-10-28,1854,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1854 Y1,C/1854 Y1,C/1854 Y1 (Winnecke-Dien),1854-12-16,1854,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
2P,2P,2P/Encke,1855-07-01,1855,True,AERITH,expected_seen,horizons_tmag,15.6,4.5,True,13.834,high_nuclear_biased
54P,54P,54P/de Vico-Swift-NEAT,1855-07-31,1855,True,AERITH,expected_not_seen,horizons_tmag,14.2,12.25,False,14.094,medium_sbdb_good
1855 G1,C/1855 G1,C/1855 G1 (Schweizer),1855-02-05,1855,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1855 L1,C/1855 L1,C/1855 L1 (Donati),1855-05-30,1855,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1855 V1,C/1855 V1,C/1855 V1 (Bruhns),1855-11-25,1855,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
226P,226P,226P/Pigott-LINEAR-Kowalski,1856-02-29,1856,True,AERITH,expected_not_seen,horizons_tmag,10.1,21.0,False,16.094,medium_sbdb_good
289P,289P,289P/Blanpain,1856-03-04,1856,True,AERITH,expected_not_seen,horizons_tmag,22.0,4.5,True,22.859,high_nuclear_biased
5D,5D,5D/Brorsen,1857-03-29,1857,True,AERITH,expected_seen,horizons_tmag,8.3,10.0,False,6.203,medium_sbdb_good
6P,6P,6P/d'Arrest,1857-11-28,1857,True,AERITH,expected_seen,horizons_tmag,15.9,8.5,False,17.624,medium_sbdb_good
1857 D1,C/1857 D1,C/1857 D1 (d'Arrest),1857-03-21,1857,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1857 M1,C/1857 M1,C/1857 M1 (Klinkerfues),1857-07-18,1857,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1857 O1,C/1857 O1,C/1857 O1 (Peters),1857-08-24,1857,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1857 Q1,C/1857 Q1,C/1857 Q1 (Klinkerfues),1857-10-01,1857,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1857 V1,C/1857 V1,C/1857 V1 (Donati-van Arsdale),1857-11-19,1857,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
26P,26P,26P/Grigg-Skjellerup,1858-01-23,1858,True,AERITH,retrospective_not_observed,horizons_tmag,16.5,5.5,True,16.657,high_nuclear_biased
2P,2P,2P/Encke,1858-10-18,1858,True,AERITH,expected_seen,horizons_tmag,15.6,4.5,True,13.934,high_nuclear_biased
41P,41P,41P/Tuttle-Giacobini-Kresak,1858-05-03,1858,True,AERITH,unexpected_seen,horizons_tmag,16.9,4.5,True,15.448,high_nuclear_biased
4P,4P,4P/Faye,1858-09-13,1858,True,AERITH,expected_seen,horizons_tmag,11.0,9.5,False,13.614,medium_sbdb_good
7P,7P,7P/Pons-Winnecke,1858-05-02,1858,True,AERITH,unexpected_seen,horizons_tmag,16.0,4.5,True,14.564,high_nuclear_biased
8P,8P,8P/Tuttle,1858-02-24,1858,True,AERITH,unexpected_seen,horizons_tmag,14.6,4.5,True,14.211,high_nuclear_biased
1858 K1,C/1858 K1,C/1858 K1 (Bruhns),1858-06-05,1858,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1858 L1,C/1858 L1,C/1858 L1 (Donati),1858-09-30,1858,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1858 R1,C/1858 R1,C/1858 R1 (Tuttle),1858-10-13,1858,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
3D,3D,3D/Biela,1859-05-23,1859,True,AERITH,expected_not_seen,horizons_tmag,7.1,10.0,False,7.692,medium_sbdb_good
1859 G1,C/1859 G1,C/1859 G1 (Tempel),1859-05-29,1859,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1860 D1,C/1860 D1,C/1860 D1 (Liais),1860-02-17,1860,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1860 H1,C/1860 H1,C/1860 H1 (Rumker),1860-03-06,1860,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1860 M1,C/1860 M1,C/1860 M1 (Great comet),1860-06-16,1860,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1860 U1,C/1860 U1,C/1860 U1 (Tempel),1860-09-22,1860,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
289P,289P,289P/Blanpain,1861-07-21,1861,True,AERITH,expected_not_seen,horizons_tmag,22.0,4.5,True,23.217,high_nuclear_biased
54P,54P,54P/de Vico-Swift-NEAT,1861-01-16,1861,True,AERITH,expected_not_seen,horizons_tmag,14.2,12.25,False,16.662,medium_sbdb_good
1861 G1,C/1861 G1,C/1861 G1 (Thatcher),1861-06-03,1861,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1861 J1,C/1861 J1,C/1861 J1 (Great comet),1861-06-12,1861,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1861 Y1,C/1861 Y1,C/1861 Y1 (Tuttle),1861-12-07,1861,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
109P,109P,109P/Swift-Tuttle,1862-08-23,1862,True,AERITH,unexpected_seen,horizons_tmag,4.5,15.0,False,1.97,medium_sbdb_good
226P,226P,226P/Pigott-LINEAR-Kowalski,1862-11-03,1862,True,AERITH,expected_not_seen,horizons_tmag,10.1,21.0,False,13.453,medium_sbdb_good
2P,2P,2P/Encke,1862-02-06,1862,True,AERITH,expected_seen,horizons_tmag,15.6,4.5,True,13.0,high_nuclear_biased
5D,5D,5D/Brorsen,1862-10-13,1862,True,AERITH,expected_not_seen,horizons_tmag,8.3,10.0,False,6.592,medium_sbdb_good
80P,80P,80P/Peters-Hartley,1862-02-01,1862,True,AERITH,expected_not_seen,horizons_tmag,11.8,15.75,False,16.29,medium_sbdb_good
1862 N1,C/1862 N1,C/1862 N1 (Schmidt),1862-06-22,1862,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1862 W1,C/1862 W1,C/1862 W1 (Respighi),1862-12-28,1862,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
26P,26P,26P/Grigg-Skjellerup,1863-01-28,1863,True,AERITH,retrospective_not_observed,horizons_tmag,16.5,5.5,True,16.618,high_nuclear_biased
41P,41P,41P/Tuttle-Giacobini-Kresak,1863-09-07,1863,True,AERITH,expected_not_seen,horizons_tmag,16.9,4.5,True,18.684,high_nuclear_biased
