trace_index,series,mode,time_point,value
0,P1: Comets,lines,1850-01-01T00:00:00.000000,6.5
0,P1: Comets,lines,1850-02-01T00:00:00.000000,
0,P1: Comets,lines,1850-03-01T00:00:00.000000,
0,P1: Comets,lines,1850-04-01T00:00:00.000000,11.0
0,P1: Comets,lines,1850-05-01T00:00:00.000000,7.0
0,P1: Comets,lines,1850-06-01T00:00:00.000000,3.857142857142857
0,P1: Comets,lines,1850-07-01T00:00:00.000000,
0,P1: Comets,lines,1850-08-01T00:00:00.000000,
0,P1: Comets,lines,1850-09-01T00:00:00.000000,24.0
0,P1: Comets,lines,1850-10-01T00:00:00.000000,14.0
0,P1: Comets,lines,1850-11-01T00:00:00.000000,21.0
0,P1: Comets,lines,1850-12-01T00:00:00.000000,8.5
0,P1: Comets,lines,1851-01-01T00:00:00.000000,18.0
0,P1: Comets,lines,1851-02-01T00:00:00.000000,10.5
0,P1: Comets,lines,1851-03-01T00:00:00.000000,24.666666666666668
0,P1: Comets,lines,1851-04-01T00:00:00.000000,16.0
0,P1: Comets,lines,1851-05-01T00:00:00.000000,6.0
0,P1: Comets,lines,1851-06-01T00:00:00.000000,9.666666666666666
0,P1: Comets,lines,1851-07-01T00:00:00.000000,8.5
0,P1: Comets,lines,1851-08-01T00:00:00.000000,16.666666666666668
0,P1: Comets,lines,1851-09-01T00:00:00.000000,
0,P1: Comets,lines,1851-10-01T00:00:00.000000,6.0
0,P1: Comets,lines,1851-11-01T00:00:00.000000,
0,P1: Comets,lines,1851-12-01T00:00:00.000000,
0,P1: Comets,lines,1852-01-01T00:00:00.000000,13.0
0,P1: Comets,lines,1852-02-01T00:00:00.000000,2.0
0,P1: Comets,lines,1852-03-01T00:00:00.000000,17.0
0,P1: Comets,lines,1852-04-01T00:00:00.000000,8.333333333333334
0,P1: Comets,lines,1852-05-01T00:00:00.000000,7.888888888888889
0,P1: Comets,lines,1852-06-01T00:00:00.000000,10.0
0,P1: Comets,lines,1852-07-01T00:00:00.000000,17.0
0,P1: Comets,lines,1852-08-01T00:00:00.000000,
0,P1: Comets,lines,1852-09-01T00:00:00.000000,9.0
