pdes,M1,K1,source_citation,notes
4P,6.1,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Faye, 4th apparition); Holetschek H1=7m.8; C.A.M. H10=6m.1; Cherednichenko 1953 H10(av)=6m.4, H10(max)=5m.8, H10(min)=7m.5; chose C.A.M. per §3.1; periodic — will dedupe with other 4P apparitions; page-image proofread vs page 224-225: confirmed; periodic dedupe across apparitions [1851 I: M1=5.5; 1858 V: M1=8.0; 1873 III: M1=7.4; 1932 IX: M1=9.5; 1881 I: M1=8.0; 1888 IV: M1=9.0; 1896 II: M1=7.8; 1910 V: M1=9.6; 1925 V: M1=10.1]"
6P,8.8,10.0,"Vsekhsvyatskij 1958, C.A.M.",MANUAL DESIGNATION OVERRIDE — script gave 1877 R1 (wrong; that's Coggia 1877 VI); body explicitly: 'fourth recorded apparition of the short-period Comet d'Arrest' = 6P; Holetschek H1=9m.1 to 10m.8 (avg 10m); C.A.M. H10=8m.8; chose C.A.M. per §3.1; periodic — will dedupe with other 6P apparitions; page-image proofread vs page 247: confirmed; periodic dedupe across apparitions [1851 II: M1=9.5; 1857 VII: M1=9.6; 1870 III: M1=8.2; 1890 V: M1=9.7; 1897 II: M1=9.65; 1910 IV: M1=10.1; 1923 II: M1=9.8]
1851 P1,7.6,10.0,"Vsekhsvyatskij 1958, E-II","matched by name (Brorsen) + year + Roman position 3; ASYMMETRIC photometry — pre-peri 7.6, post-peri 12; took pre-peri (brighter) per commission §3.3; comet 'rapidly exhausted itself' after perihelion passage; OCR proofread vs page 185: confirmed E-II (two I's)"
1858 L1,3.3,10.0,"Vsekhsvyatskij 1958, other","matched by name (Donati); BIG V FLAGS C.A.M. VALUE AS ERRONEOUS — C.A.M. gave H10=1.0 explicitly marked 'erroneously'; chose synthesis H10=3.3 at y=8.9 (Bobrovnikoff/Vsekhsvyatskij combined fit) which Big V endorses; Holetschek H1=2.5 also cited; Bobrovnikoff fits at non-standard y=8.7 (H0=3.39) and y=11.2 (H0=4.3); REVIEW: y=8.9 != K1=10 standard, but stated H10=3.3 should be used as M1 with K1=10 per Big V's framing; OCR proofread vs page 205: confirmed; sanity check vs reported peak mag ~-1: H10=3.3 predicts ~-0.6 (good fit), erroneous C.A.M.=1.0 would predict ~-2.9 (way too bright, confirming Big V's flag)"
1882 F1,4.1,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Wells); Holetschek H1=3.6-4.6 (mid 4.1) corroborates; phase-specific H10 alts cited — discovery period H10=3.3, after-perihelion H10=4.6, May-June H10=7.4 on bright background; chose C.A.M. as the synthesis value; OCR proofread vs page 264: confirmed (corrected note: May-June was H10 not H1)"
1882 R1,0.8,10.0,"Vsekhsvyatskij 1958, C.A.M.","MANUAL DESIGNATION OVERRIDE — script Roman-fallback gave 289P (wrong; 289P/Blanpain 1882 was retrospective recovery never observed brightly); body identifies as 'the September Comet' = 1882 R1 (Great September Comet, sungrazer); Holetschek H1=0.8-1.5 (range mid 1.15) also cited; Kritzinger non-standard y=8.0 H_y=0.5; OCR proofread vs page 267: confirmed; sungrazer at perihelion — peak apparent mag was -17, consistent with bright C.A.M. H10=0.8 + extreme perihelion geometry"
1882 R2,7.4,10.0,"Vsekhsvyatskij 1958, other","matched by name (Barnard); CITATION CORRECTION via OCR proofread page 268 — actually E-III not E-II (three I's, not two); per commission §3.1 source format, E-III falls under 'other' (only E-II has its own bucket); only one H10 value cited in entry; Big V's coverage of this comet is brief; popular_name disambiguates Barnard's many comets"
1P,4.6,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Halley); 30th recorded and 3rd precalculated apparition; CORRECTION via OCR proofread page 384 — printed text plainly reads 'in C.A.M., H10=4m.6' which pymupdf OCR garbled; this is the C.A.M. value, NOT a narrative endorsement (was originally classified as 'other'); Big V's narrative confirms 'H10=4.6 is in better agreement with observations' than Bobrovnikoff's y=10.1 H0=5.62 prediction; Ernst y=13.5, H0=4.0-5.3; Holetschek H1=3.5-5.3 for Apr-Jul max brightness; periodic — will dedupe with other 1P apparitions; sanity check: H10=4.6 predicts ~mag -1.8 at closest approach 1910, observed peak ~0, reasonable for K1=10 fit"
1850 J1,6.0,10.0,"Vsekhsvyatskij 1958, C.A.M.",matched by name (Petersen); page-image proofread p.183: clean C.A.M. citation; Holetschek H1=6.2 also cited; D1=4'.5 in July
1850 Q1,7.9,10.0,"Vsekhsvyatskij 1958, E-II",matched by name (Bond); page-image proofread p.184: only E-II value cited; D1=1'.3 in Sept.; brief photometry section
5D,8.0,10.0,"Vsekhsvyatskij 1958, C.A.M.",matched by name (Brorsen); 2nd recorded observation of 5D; C.A.M. H10=8.0; Holetschek H1=8.1; Konopleva H10 range 7.2-8.2 also cited; periodic — will dedupe with other 5D apparitions; page-image proofread p.197-198: confirmed; periodic dedupe across apparitions [1851 IV: M1=6.0; 1868 I: M1=8.5; 1873 VI: M1=9.6; 1879 I: M1=9.4]
