comet_id,comet_name,designation,perihelion_date,perihelion_year,raw_status_icon,raw_aerith_status,source_url,source_row_html
0001P,1P/Halley,0001P/?,2061-07-28,2061,wh_ball.gif,Returns in the future,https://aerith.net/comet/catalog/0001P/index.html,"<tr><td><img alt=""."" height=""16"" src=""../../../icon/wh_ball.gif"" width=""17""/></td>
<td><br/></td><td><center>2061 July 28</center></td></tr>"
0001P,1P/Halley,1P/1982 U1,1986-02-09,1986,gr_ball.gif,Appeared,https://aerith.net/comet/catalog/0001P/index.html,"<tr><td><img alt=""*"" height=""16"" src=""../../../icon/gr_ball.gif"" width=""17""/></td>
<td>1P/1982 U1</td><td><center>1986 Feb.  9</center></td></tr>"
0001P,1P/Halley,1P/1909 R1,1910-04-20,1910,gr_ball.gif,Appeared,https://aerith.net/comet/catalog/0001P/index.html,"<tr><td><img alt=""*"" height=""16"" src=""../../../icon/gr_ball.gif"" width=""17""/></td>
<td>1P/1909 R1</td><td><center>1910 Apr. 20</center></td></tr>"
0001P,1P/Halley,1P/1835 P1,1835-11-16,1835,gr_ball.gif,Appeared,https://aerith.net/comet/catalog/0001P/index.html,"<tr><td><img alt=""*"" height=""16"" src=""../../../icon/gr_ball.gif"" width=""17""/></td>
<td>1P/1835 P1</td><td><center>1835 Nov. 16</center></td></tr>"
0001P,1P/Halley,1P/1758 Y1,1759-03-13,1759,gr_ball.gif,Appeared,https://aerith.net/comet/catalog/0001P/index.html,"<tr><td><img alt=""*"" height=""16"" src=""../../../icon/gr_ball.gif"" width=""17""/></td>
<td>1P/1758 Y1</td><td><center>1759 Mar. 13</center></td></tr>"
0001P,1P/Halley,1P/1682 Q1,1682-09-15,1682,pr_ball.gif,Discovered,https://aerith.net/comet/catalog/0001P/index.html,"<tr><td><img alt=""!"" height=""16"" src=""../../../icon/pr_ball.gif"" width=""17""/></td>
<td>1P/1682 Q1</td><td><center>1682 Sept.15</center></td></tr>"
0001P,1P/Halley,1P/1607 S1,1607-10-27,1607,cy_ball.gif,Appeared before discovery,https://aerith.net/comet/catalog/0001P/index.html,"<tr><td><img alt=""#"" height=""16"" src=""../../../icon/cy_ball.gif"" width=""17""/></td>
<td>1P/1607 S1</td><td><center>1607 Oct. 27</center></td></tr>"
0001P,1P/Halley,1P/1531 P1,1531-08-26,1531,cy_ball.gif,Appeared before discovery,https://aerith.net/comet/catalog/0001P/index.html,"<tr><td><img alt=""#"" height=""16"" src=""../../../icon/cy_ball.gif"" width=""17""/></td>
<td>1P/1531 P1</td><td><center>1531 Aug. 26</center></td></tr>"
0001P,1P/Halley,1P/1456 K1,1456-06-09,1456,cy_ball.gif,Appeared before discovery,https://aerith.net/comet/catalog/0001P/index.html,"<tr><td><img alt=""#"" height=""16"" src=""../../../icon/cy_ball.gif"" width=""17""/></td>
<td>1P/1456 K1</td><td><center>1456 June  9</center></td></tr>"
0001P,1P/Halley,1P/1378 S1,1378-11-10,1378,cy_ball.gif,Appeared before discovery,https://aerith.net/comet/catalog/0001P/index.html,"<tr><td><img alt=""#"" height=""16"" src=""../../../icon/cy_ball.gif"" width=""17""/></td>
<td>1P/1378 S1</td><td><center>1378 Nov. 10</center></td></tr>"
0001P,1P/Halley,1P/1301 R1,1301-10-25,1301,cy_ball.gif,Appeared before discovery,https://aerith.net/comet/catalog/0001P/index.html,"<tr><td><img alt=""#"" height=""16"" src=""../../../icon/cy_ball.gif"" width=""17""/></td>
<td>1P/1301 R1</td><td><center>1301 Oct. 25</center></td></tr>"
0001P,1P/Halley,1P/1222 R1,1222-09-28,1222,cy_ball.gif,Appeared before discovery,https://aerith.net/comet/catalog/0001P/index.html,"<tr><td><img alt=""#"" height=""16"" src=""../../../icon/cy_ball.gif"" width=""17""/></td>
<td>1P/1222 R1</td><td><center>1222 Sept.28</center></td></tr>"
0001P,1P/Halley,1P/1145 G1,1145-04-18,1145,cy_ball.gif,Appeared before discovery,https://aerith.net/comet/catalog/0001P/index.html,"<tr><td><img alt=""#"" height=""16"" src=""../../../icon/cy_ball.gif"" width=""17""/></td>
<td>1P/1145 G1</td><td><center>1145 Apr. 18</center></td></tr>"
0001P,1P/Halley,1P/1066 G1,1066-03-20,1066,cy_ball.gif,Appeared before discovery,https://aerith.net/comet/catalog/0001P/index.html,"<tr><td><img alt=""#"" height=""16"" src=""../../../icon/cy_ball.gif"" width=""17""/></td>
<td>1P/1066 G1</td><td><center>1066 Mar. 20</center></td></tr>"
0001P,1P/Halley,1P/ 989 N1,,-1,cy_ball.gif,Appeared before discovery,https://aerith.net/comet/catalog/0001P/index.html,"<tr><td><img alt=""#"" height=""16"" src=""../../../icon/cy_ball.gif"" width=""17""/></td>
<td>1P/ 989 N1</td><td><center>989 Sept. 5</center></td></tr>"
0001P,1P/Halley,1P/ 912 J1,,-1,cy_ball.gif,Appeared before discovery,https://aerith.net/comet/catalog/0001P/index.html,"<tr><td><img alt=""#"" height=""16"" src=""../../../icon/cy_ball.gif"" width=""17""/></td>
<td>1P/ 912 J1</td><td><center>912 July 18</center></td></tr>"
0001P,1P/Halley,1P/ 837 F1,,-1,cy_ball.gif,Appeared before discovery,https://aerith.net/comet/catalog/0001P/index.html,"<tr><td><img alt=""#"" height=""16"" src=""../../../icon/cy_ball.gif"" width=""17""/></td>
<td>1P/ 837 F1</td><td><center>837 Feb. 28</center></td></tr>"
0001P,1P/Halley,1P/ 760 K1,,-1,cy_ball.gif,Appeared before discovery,https://aerith.net/comet/catalog/0001P/index.html,"<tr><td><img alt=""#"" height=""16"" src=""../../../icon/cy_ball.gif"" width=""17""/></td>
<td>1P/ 760 K1</td><td><center>760 May  20</center></td></tr>"
0001P,1P/Halley,1P/ 684 R1,,-1,cy_ball.gif,Appeared before discovery,https://aerith.net/comet/catalog/0001P/index.html,"<tr><td><img alt=""#"" height=""16"" src=""../../../icon/cy_ball.gif"" width=""17""/></td>
<td>1P/ 684 R1</td><td><center>684 Oct.  2</center></td></tr>"
