pdes,popular_name,M1,K1,source_citation,notes,match_confidence,bigv_designation_old,bigv_page,ocr_excerpt
1926 B1,Blathwayt's Comet (1926 I),10.6,10.0,"Vsekhsvyatskij 1958, C.A.M.",matched by name (Blathwayt) + 16 Jan 1926 Bloemfontein discovery; C.A.M. Hip=10m.6 (printed 'Hip' = H10 OCR artefact); yields m=13m.8 for 5 April 1926 (matches Schorr); D1=2'.0 to 4'.5; nucleus 10m.8 to 16m; rapid faintening; page-image proofread vs p438-439: confirmed,high,1926 I,438,"In C.A.M., Hip =10™6; this yields m=13™.8 for 5 April 1926"
22P,Kopff,10.8,10.0,"Vsekhsvyatskij 1958, C.A.M.",matched by body — 'third recorded apparition of the short-period Comet Kopff (1906 IV)' = 22P; M.N. 90:717 H10(av)=10.8; same value cited in C.A.M.; agrees with Wolf and van Biesbroeck observations (m=16.5 on 15 Oct.); D1=1'.4; periodic — will dedupe with other 22P apparitions; page-image proofread vs p439: confirmed,high,1926 II,439,"In M.N., 90: 717, H10(av) = 10.8; same figure cited in C.A.M."
1925 X1,Ensor's Comet (1926 III),9.3,10.0,"Vsekhsvyatskij 1958, C.A.M.",matched by name (Ensor) + 13 Dec 1925 Pretoria discovery; C.A.M. H10=9m.3 for initial period; for Feb-March H1 fainter than 11m.5 (post-peri fading — comet seen disintegrating); chose initial-period C.A.M. per §3.1 (brighter representative per §3.3 conceptually); D1=3 to 4'; S=0.030; tail anomalous (synchrone hypothesis); page-image proofread vs p439-440: confirmed,high,1926 III,439,"In C.A.M., Hjg9=9™.3 for the initial period; for February and March, H, fainter than 11™.5."
8P,Tuttle,10.6,10.0,"Vsekhsvyatskij 1958, C.A.M.",matched by body — 'seventh recorded apparition of the short-period Comet Tuttle' = 8P; M.N. 90:714 H10=10m.6; same in C.A.M.; D1=0'.4 in Feb; periodic — will dedupe with other 8P apparitions; page-image proofread vs p440-441: confirmed,high,1926 IV,440,"In M.N., 90: 714, Hip=10™6; same figure in C.A.M."
15P,Finlay,11.6,10.0,"Vsekhsvyatskij 1958, other","matched by body — 'fifth recorded apparition of the short-period Comet Finlay' = 15P; M.N. 90:713 H10(av)=12m.7, H1=12m.0, H2=14m.6; C.A.M. H10=12m.7; using Aug estimates we obtain H10=11m.6 (Big V's synthesis preferred — Aug values are early-period brighter); flagged: comet grew faint more rapidly than r^-4*Δ^-2 (NON-STANDARD photometric law); D1=0'.7-2'.7; periodic — will dedupe with other 15P apparitions; page-image proofread vs p441: confirmed",medium,1926 V,441,"in C.A.M., Hjgp=12™.7; making use of August estimates, we obtain Hj)>=11™.6. The comet thus grew faint more rapidly than r~A>*"
21P,Giacobini-Zinner,11.5,10.0,"Vsekhsvyatskij 1958, other",matched by body — 'third recorded apparition of the short-period Comet Giacobini-Zinner (the 1920 apparition was overlooked)' = 21P; M.N. 90:714 H10(min)=15m on 4 March 1927; at maximum (Dec 1926) H10=11m.5; took maximum (brighter) per §3.3/§3.6; non-standard law: 'after perihelion grew faint more rapidly than r^-4*Δ^-2'; D1=0'.4; meteor association v Draconis (Draconids); periodic — will dedupe; page-image proofread vs p441-442: confirmed,medium,1926 VI,441,"M.N., 90: 714 gave, according to the initial observations, H1o(nin)= ... at the maximum (December 1926), Hyg=11™.5. After the perihelion passage the comet grew faint more rapidly than r^-4*Δ^-2"
1927 B1,Reid's Comet (1926 VII),7.8,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Reid) + 25 Jan 1927 Capetown discovery; Big V's 'Taking m=8m for end of January and m=9.5 to 10m for beginning of March, C.A.M. obtained H10=7m.8'; brightness decreased sharply; observed only at southern observatories; page-image proofread vs p442: confirmed",high,1926 VII,442,"Taking m=8™ for the end of January and m=9.5 to 10™ for the beginning of March, C.A.M. obtained Hjg=7™.8"
25D,Neujmin 2,10.7,10.0,"Vsekhsvyatskij 1958, E-I",ENTRY MERGED with 1926 VII in segmenter — body contains '1927 I (1926g). The second recorded apparition of the short-period Comet Neujmin (2) (1916 II; the 1921 return was overlooked)' = 25D; E-I H10=10m.7 initial period; average H10=11m.9; post-peri H10=10m.7; took initial/post-peri brightest 10.7 per §3.6 (brightest); periodic — will dedupe with other 25D apparitions; bigv_designation_old=1927 I (Big V's actual print); page-image proofread vs p442-443: confirmed,high,1927 I,442,"E-I gave for the initial period Hjj)=10™.7. Proceeding from all the estimates above, we obtain on the average H;)=11™.9 and after the perihelion passage H;,=10™.7"
1927 A1,Blathwayt's Comet (1927 II),7.4,10.0,"Vsekhsvyatskij 1958, E-I",matched by name (Blathwayt) + 11 Jan 1927 Bloemfontein discovery; only E-I H10=7m.4 cited for initial period; March H10=8.5 to 9m (post-peri fading); took initial-period brighter per §3.3; not detected in northern hemisphere; page-image proofread vs p443: confirmed,high,1927 II,443,"E-I gave Hig= 7™.4 according to observations in the initial period. In March, Hjg= 8.5 to 9™."
32P,Comas Sola,9.0,10.0,"Vsekhsvyatskij 1958, E-I",matched by name (Comas Sola) + 5 Nov 1926 Barcelona discovery + body 'first recorded apparition of the short-period Comet Comas Sola' = 32P; segmenter labeled 1927 II but Big V actually prints 1927 III (Roman numeral OCR confusion); E-I H10=9m.0 (figures y=2 and H0~11m flagged uncertain); D1=3'.1; periodic — will dedupe with other 32P apparitions; page-image proofread vs p443-444: Big V prints '1927 III (1926f)' — confirmed Roman III not II,high,1927 III,443,"In E-I, Hj =9™.0; the figures y=2 and Hp=11™ are uncertain."
