apparition_id,comet_id,comet_name,designation,apparition_year,perihelion_date,discovery_date,raw_status_source,raw_aerith_status,expected,seen,event_case,status_mapping_confidence,status_notes,manual_review_status,sbdb_pdes,merged_fragments,window_start,window_end,window_extended,window_extension_reason,magnitude_provenance,manual_curated_source_citation,failed_horizons_match,failed_light_curve,missing_magnitude_model,missing_perihelion_date,no_light_curve_window,audit_notes,magnitude_quality,sbdb_M1,sbdb_K1,sbdb_M2_present,sbdb_K2_present,manual_sbdb_conflict,sbdb_nuclear_biased,peak_mag,date_peak_mag,days_mag_le_6,integrated_mag6_excess,spectacle_mag6_excess,peak_flux_proxy,integrated_flux_proxy,integrated_visible_relative_flux_mag6,spectacle_visible_relative_flux_mag6,main_sample_candidate,exclude_from_main_sample,exclusion_reason
1P_1910,1P,1P/Halley,1P/1909 R1,1910,1910-04-20,,AERITH,Appeared,True,True,expected_seen,high,,False,,,1909-10-22,1910-10-17,False,,manual_curated_override,"Vsekhsvyatskij 1958, C.A.M.",False,False,False,False,False,,medium,5.5,8.0,True,True,False,False,-0.11996917379375116,1910-05-20,98,268.64946807373207,1014.1750871033177,1.1168315382659177,14.795285783285893,3680.352194350875,501856.62141782447,True,False,
2P_1937,2P,2P/Encke,2P,1937,1937-12-27,,AERITH,Appeared,True,True,expected_seen,high,,False,,,1937-06-30,1938-06-25,False,,manual_curated_override,"Vsekhsvyatskij 1958, C.A.M.",False,False,False,False,False,,medium,15.6,4.5,False,False,False,True,3.5371951707799942,1937-12-25,57,74.42346210476067,129.57906578818552,0.03846997744575793,1.0231552402514805,239.04147926184015,1440.302682356175,True,False,
2P_1934,2P,2P/Encke,2P,1934,1934-09-15,,AERITH,Appeared,True,True,expected_seen,high,,False,,,1934-03-19,1935-03-14,False,,manual_curated_override,"Vsekhsvyatskij 1958, C.A.M.",False,False,False,False,False,,medium,15.6,4.5,False,False,False,True,4.530347976037678,1934-09-15,25,22.502663828545003,25.466447956703398,0.01541206420557303,0.31085112586606584,62.201755674139896,177.21803942405853,True,False,
2P_1931,2P,2P/Encke,2P,1931,1931-06-03,,AERITH,Appeared,True,True,expected_seen,high,,False,,,1930-12-05,1931-11-30,False,,manual_curated_override,"Vsekhsvyatskij 1958, C.A.M.",False,False,False,False,False,,medium,15.6,4.5,False,False,False,True,4.000245786814546,1931-06-06,51,52.135873596087094,72.18035197090825,0.02511317859985974,0.6772304690887736,153.02883702501362,605.511459366396,True,False,
2P_1928,2P,2P/Encke,2P,1928,1928-02-19,,AERITH,Appeared,True,True,expected_seen,high,,False,,,1927-08-23,1928-08-17,False,,manual_curated_override,"Vsekhsvyatskij 1958, C.A.M.",False,False,False,False,False,,medium,15.6,4.5,False,False,False,True,3.0168620296331543,1928-02-19,36,60.61497362829998,135.6219597377061,0.062123395937312156,1.0169118044811083,239.9757900883925,2485.029962452015,True,False,
2P_1924,2P,2P/Encke,2P,1924,1924-10-31,,AERITH,Appeared,True,True,expected_seen,high,,False,,,1924-05-04,1925-04-29,False,,manual_curated_override,"Vsekhsvyatskij 1958, C.A.M.",False,False,False,False,False,,medium,15.6,4.5,False,False,False,True,4.399016003940132,NaT,31,28.894055665281236,35.232086881578354,0.017393765008797815,0.3937003466285613,81.32912035942225,253.32745247619977,True,False,
2P_1921,2P,2P/Encke,2P,1921,1921-07-13,,AERITH,Appeared,True,True,expected_seen,high,,False,,,1921-01-14,1922-01-09,False,,manual_curated_override,"Vsekhsvyatskij 1958, C.A.M.",False,False,False,False,False,,medium,15.6,4.5,False,False,False,True,4.506248455578193,1921-07-15,28,25.079457196535074,28.67336110369137,0.015757982642602895,0.3472617755252438,69.76911217643482,200.9326074299135,True,False,
2P_1918,2P,2P/Encke,2P,1918,1918-03-24,,AERITH,Appeared,True,True,expected_seen,high,,False,,,1917-09-25,1918-09-20,False,,manual_curated_override,"Vsekhsvyatskij 1958, C.A.M.",False,False,False,False,False,,medium,15.6,4.5,False,False,False,True,3.2034122743580555,1918-03-27,37,59.24872559973645,124.98195903248465,0.05231606735662272,0.9377905238359543,219.10869715213286,1931.3929458928524,True,False,
2P_1914,2P,2P/Encke,2P,1914,1914-12-05,,AERITH,Appeared,True,True,expected_seen,high,,False,,,1914-06-08,1915-06-03,False,,manual_curated_override,"Vsekhsvyatskij 1958, C.A.M.",False,False,False,False,False,,medium,15.6,4.5,False,False,False,True,3.9459261803898587,1914-12-03,54,59.28437764333287,84.48962822472338,0.026401556284200503,0.7482558416202776,172.52438598878848,716.5851127368934,True,False,
2P_1911,2P,2P/Encke,2P,1911,1911-08-19,,AERITH,Appeared,True,True,expected_seen,high,,False,,,1911-02-20,1912-02-15,False,,manual_curated_override,"Vsekhsvyatskij 1958, C.A.M.",False,False,False,False,False,,medium,15.6,4.5,False,False,False,True,4.633436319716611,1911-08-20,25,20.61875883393749,21.76679733411849,0.014016044643013472,0.29159518207232027,57.62963235508815,150.57116916588137,True,False,
2P_1908,2P,2P/Encke,2P,1908,1908-05-01,,AERITH,Appeared,True,True,expected_seen,high,,False,,,1907-11-03,1908-10-28,False,,manual_curated_override,"Vsekhsvyatskij 1958, C.A.M.",False,False,False,False,False,,medium,15.6,4.5,False,False,False,True,3.6321220831164513,1908-05-05,52,65.36651214615247,111.9946552272935,0.03524935436396909,0.9121154850752993,208.18679510045632,1181.8109900219752,True,False,
