comet_id,comet_name,apparition_id,apparition_year,perihelion_date,peak_mag_n,predicted,event_case,max_salience,peak_month_offset,integ_above_p75,lead_time_p75,lead_time_p90,preperi_max
1P,1P/Halley,1P_1910,1910,1910-04-20,-0.1199691737937511,True,expected_seen,0.8865295288652952,1,4.174970967163987,-5.0,-5.0,0.7047872340425532
2P,2P/Encke,2P_1937,1937,1937-12-27,3.5371951707799942,True,expected_seen,0.2307692307692307,-4,0.06246204453441295,-4.0,,0.2307692307692307
2P,2P/Encke,2P_1934,1934,1934-09-15,4.530347976037678,True,expected_seen,0.125,-3,0.0,,,0.125
2P,2P/Encke,2P_1931,1931,1931-06-03,4.000245786814546,True,expected_seen,0.1891891891891892,2,0.020882002954371454,2.0,,0.075
2P,2P/Encke,2P_1928,1928,1928-02-19,3.0168620296331543,True,expected_seen,0.2142857142857142,-4,0.059489523634260494,-4.0,,0.2142857142857142
2P,2P/Encke,2P_1924,1924,1924-10-31,4.399016003940132,True,expected_seen,0.1621621621621621,0,0.0,,,0.0192307692307692
2P,2P/Encke,2P_1921,1921,1921-07-13,4.506248455578193,True,expected_seen,0.5,-1,0.3869976332147387,-2.0,-1.0,0.5
2P,2P/Encke,2P_1918,1918,1918-03-24,3.2034122743580555,True,expected_seen,0.1698113207547169,2,0.0015041345198991418,2.0,,0.1142857142857142
2P,2P/Encke,2P_1914,1914,1914-12-05,3.945926180389858,True,expected_seen,0.2686567164179104,-2,0.20028840426898722,-4.0,,0.2686567164179104
2P,2P/Encke,2P_1911,1911,1911-08-19,4.633436319716611,True,expected_seen,0.3333333333333333,2,0.7642495097069806,-3.0,1.0,0.3035714285714285
2P,2P/Encke,2P_1908,1908,1908-05-01,3.6321220831164513,True,expected_seen,0.3578947368421052,5,0.2862376293297346,4.0,5.0,0.055045871559633
2P,2P/Encke,2P_1905,1905,1905-01-12,3.3735436442197706,True,expected_seen,0.0851063829787234,1,0.0,,,0.056
2P,2P/Encke,2P_1901,1901,1901-09-15,4.671250208898306,True,expected_seen,0.3125,1,0.1560658077105446,-4.0,1.0,0.1801801801801801
2P,2P/Encke,2P_1898,1898,1898-05-27,4.052215290428391,True,expected_seen,0.3142857142857143,5,0.33793558415268965,1.0,5.0,0.1489361702127659
2P,2P/Encke,2P_1895,1895,1895-02-05,3.15430492441038,True,expected_seen,0.1941747572815534,-2,0.02586757104673565,-2.0,,0.1941747572815534
2P,2P/Encke,2P_1891,1891,1891-10-18,4.495610830795896,True,expected_seen,0.1171171171171171,0,0.0,,,0.0845070422535211
2P,2P/Encke,2P_1888,1888,1888-06-28,4.447054675503165,True,expected_seen,0.3035714285714285,-4,0.22541869681042118,-4.0,,0.3035714285714285
2P,2P/Encke,2P_1885,1885,1885-03-08,3.127152133644844,True,expected_seen,0.2653061224489796,-4,0.09699893621416186,-4.0,,0.2653061224489796
2P,2P/Encke,2P_1881,1881,1881-11-15,4.260480261197165,True,expected_seen,0.7070707070707071,-3,2.564490445997646,-5.0,-5.0,0.7070707070707071
2P,2P/Encke,2P_1878,1878,1878-07-26,4.497479718825105,True,expected_seen,0.2452830188679245,-4,0.20915856598198185,-4.0,,0.2452830188679245
2P,2P/Encke,2P_1875,1875,1875-04-13,3.340965890207868,True,expected_seen,0.1176470588235294,-1,0.0,,,0.1176470588235294
2P,2P/Encke,2P_1871,1871,1871-12-29,3.493969838847017,True,expected_seen,0.6551724137931034,3,1.0704052177477121,-2.0,0.0,0.2
2P,2P/Encke,2P_1868,1868,1868-09-15,4.55159172625644,True,expected_seen,0.1612903225806451,0,0.0,,,0.1224489795918367
2P,2P/Encke,2P_1865,1865,1865-05-28,4.078369816581415,True,expected_seen,0.4,6,0.7068235492577601,-1.0,-1.0,0.3333333333333333
2P,2P/Encke,2P_1862,1862,1862-02-06,3.127387994405103,True,expected_seen,0.7857142857142857,6,2.123589623096202,-5.0,-5.0,0.6
2P,2P/Encke,2P_1858,1858,1858-10-18,4.493319404233424,True,expected_seen,0.873015873015873,-1,2.6313932152101134,-5.0,-5.0,0.873015873015873
2P,2P/Encke,2P_1855,1855,1855-07-01,4.38828989359963,True,expected_seen,0.3333333333333333,-1,0.16502614709851557,-1.0,-1.0,0.3333333333333333
2P,2P/Encke,2P_1852,1852,1852-03-15,3.1217074186297573,True,expected_seen,0.391304347826087,2,0.791435083318665,-2.0,-2.0,0.3333333333333333
3D,3D/Biela,3D_1852,1852,1852-09-23,8.219189513968946,True,expected_seen,0.75,6,1.3516993256552756,-5.0,-5.0,0.391304347826087
4P,4P/Faye,4P_1940,1940,1940-04-24,10.395369449904404,True,expected_seen,0.1428571428571428,-5,0.0,,,0.1428571428571428
4P,4P/Faye,4P_1932,1932,1932-12-06,7.603483197065241,True,expected_seen,0.3333333333333333,2,0.16745066818077092,1.0,2.0,0.15
4P,4P/Faye,4P_1925,1925,1925-08-07,9.50959354806581,True,expected_seen,0.15,5,0.0,,,0.1428571428571428
4P,4P/Faye,4P_1910,1910,1910-11-02,7.445758226932007,True,expected_seen,0.4673913043478261,-5,0.9408188471521186,-5.0,-5.0,0.4673913043478261
4P,4P/Faye,4P_1896,1896,1896-03-19,10.411176939740534,True,expected_seen,0.3708609271523179,0,0.28816159067008684,-4.0,0.0,0.2222222222222222
4P,4P/Faye,4P_1888,1888,1888-08-20,9.62435792794107,True,expected_seen,0.2131147540983606,-5,0.09015445447381043,-5.0,,0.2131147540983606
4P,4P/Faye,4P_1881,1881,1881-01-23,9.230267450218852,True,expected_seen,0.6684782608695652,6,1.0879340762311545,-2.0,-2.0,0.3142857142857143
4P,4P/Faye,4P_1873,1873,1873-07-18,10.085279829971387,True,expected_seen,0.2352941176470588,6,0.13614178971183624,-3.0,,0.175
4P,4P/Faye,4P_1866,1866,1866-02-14,9.716479785128197,True,expected_seen,0.4,-3,0.3950784412955468,-5.0,-3.0,0.4
4P,4P/Faye,4P_1858,1858,1858-09-13,8.842622545660872,True,expected_seen,0.873015873015873,0,2.8267223926116594,-5.0,-5.0,0.4666666666666667
4P,4P/Faye,4P_1851,1851,1851-04-02,10.426564315499034,True,expected_seen,0.35,1,0.48401763187232316,-2.0,-2.0,0.3333333333333333
5D,5D/Brorsen,5D_1879,1879,1879-03-31,5.666210687876444,True,expected_seen,0.2647058823529412,1,0.19450866885215645,0.0,,0.0961538461538461
5D,5D/Brorsen,5D_1873,1873,1873-10-10,6.11256001825253,True,expected_seen,0.2352941176470588,3,0.1731712208826014,1.0,,0.1176470588235294
5D,5D/Brorsen,5D_1868,1868,1868-04-17,6.1018270931032665,True,expected_seen,0.3076923076923077,-4,0.17107793522267223,-5.0,-4.0,0.3076923076923077
5D,5D/Brorsen,5D_1857,1857,1857-03-29,5.903110064455884,True,expected_seen,0.9047619047619048,1,2.6631771151148866,0.0,0.0,0.1428571428571428
6P,6P/d'Arrest,6P_1923,1923,1923-09-15,9.457423358245151,True,expected_seen,0.1363636363636363,-3,0.0,,,0.1363636363636363
6P,6P/d'Arrest,6P_1910,1910,1910-09-16,9.003367234852554,True,expected_seen,0.8865295288652952,-4,2.2467338840022184,-5.0,-5.0,0.8865295288652952
