comet_id,comet_name,apparition_id,apparition_year,perihelion_date,peak_mag_n,predicted,event_case,competing_min_mag,solo_at_mag6,solo_at_mag8
1P,1P/Halley,1P_1910,1910,1910-04-20,-0.1199691737937511,True,expected_seen,-3.770183864478436,False,False
2P,2P/Encke,2P_1937,1937,1937-12-27,3.5371951707799942,True,expected_seen,4.092083787749923,False,False
2P,2P/Encke,2P_1934,1934,1934-09-15,4.530347976037678,True,expected_seen,6.646680757632584,True,False
2P,2P/Encke,2P_1931,1931,1931-06-03,4.000245786814546,True,expected_seen,-5.036073703572425,False,False
2P,2P/Encke,2P_1928,1928,1928-02-19,3.0168620296331543,True,expected_seen,-2.652527369069785,False,False
2P,2P/Encke,2P_1924,1924,1924-10-31,4.399016003940132,True,expected_seen,3.382650042994516,False,False
2P,2P/Encke,2P_1921,1921,1921-07-13,4.506248455578193,True,expected_seen,2.723008052792028,False,False
2P,2P/Encke,2P_1918,1918,1918-03-24,3.2034122743580555,True,expected_seen,7.256960906115468,True,False
2P,2P/Encke,2P_1914,1914,1914-12-05,3.945926180389858,True,expected_seen,2.6128034845628747,False,False
2P,2P/Encke,2P_1911,1911,1911-08-19,4.633436319716611,True,expected_seen,-0.2145510151282152,False,False
2P,2P/Encke,2P_1908,1908,1908-05-01,3.6321220831164513,True,expected_seen,5.808048992643471,False,False
2P,2P/Encke,2P_1905,1905,1905-01-12,3.3735436442197706,True,expected_seen,10.248626011357928,True,True
2P,2P/Encke,2P_1901,1901,1901-09-15,4.671250208898306,True,expected_seen,-2.318902895499792,False,False
2P,2P/Encke,2P_1898,1898,1898-05-27,4.052215290428391,True,expected_seen,3.9819869327563415,False,False
2P,2P/Encke,2P_1895,1895,1895-02-05,3.15430492441038,True,expected_seen,6.668483606092732,True,False
2P,2P/Encke,2P_1891,1891,1891-10-18,4.495610830795896,True,expected_seen,3.448201416467985,False,False
2P,2P/Encke,2P_1888,1888,1888-06-28,4.447054675503165,True,expected_seen,3.05100928922714,False,False
2P,2P/Encke,2P_1885,1885,1885-03-08,3.127152133644844,True,expected_seen,4.6976714703149,False,False
2P,2P/Encke,2P_1881,1881,1881-11-15,4.260480261197165,True,expected_seen,0.0301612757337454,False,False
2P,2P/Encke,2P_1878,1878,1878-07-26,4.497479718825105,True,expected_seen,8.325668066969726,True,True
2P,2P/Encke,2P_1875,1875,1875-04-13,3.340965890207868,True,expected_seen,5.108249714248126,False,False
2P,2P/Encke,2P_1871,1871,1871-12-29,3.493969838847017,True,expected_seen,4.7333620639359335,False,False
2P,2P/Encke,2P_1868,1868,1868-09-15,4.55159172625644,True,expected_seen,4.3280279725778925,False,False
2P,2P/Encke,2P_1865,1865,1865-05-28,4.078369816581415,True,expected_seen,-11.319644795208932,False,False
2P,2P/Encke,2P_1862,1862,1862-02-06,3.127387994405103,True,expected_seen,3.930291754825746,False,False
2P,2P/Encke,2P_1858,1858,1858-10-18,4.493319404233424,True,expected_seen,-0.1851114415708261,False,False
2P,2P/Encke,2P_1855,1855,1855-07-01,4.38828989359963,True,expected_seen,7.126325263943931,True,False
2P,2P/Encke,2P_1852,1852,1852-03-15,3.1217074186297573,True,expected_seen,5.170397665495223,False,False
3D,3D/Biela,3D_1852,1852,1852-09-23,8.219189513968946,True,expected_seen,4.515006236170825,False,False
4P,4P/Faye,4P_1940,1940,1940-04-24,10.395369449904404,True,expected_seen,4.264483543521379,False,False
4P,4P/Faye,4P_1932,1932,1932-12-06,7.603483197065241,True,expected_seen,5.891634236349665,False,False
4P,4P/Faye,4P_1925,1925,1925-08-07,9.50959354806581,True,expected_seen,6.071573992312432,True,False
4P,4P/Faye,4P_1910,1910,1910-11-02,7.445758226932007,True,expected_seen,-0.1199691737937511,False,False
4P,4P/Faye,4P_1896,1896,1896-03-19,10.411176939740534,True,expected_seen,-2.2574076535723133,False,False
4P,4P/Faye,4P_1888,1888,1888-08-20,9.62435792794107,True,expected_seen,3.05100928922714,False,False
4P,4P/Faye,4P_1881,1881,1881-01-23,9.230267450218852,True,expected_seen,0.0301612757337454,False,False
4P,4P/Faye,4P_1873,1873,1873-07-18,10.085279829971387,True,expected_seen,1.6696155411496516,False,False
4P,4P/Faye,4P_1866,1866,1866-02-14,9.716479785128197,True,expected_seen,4.601142914576935,False,False
4P,4P/Faye,4P_1858,1858,1858-09-13,8.842622545660872,True,expected_seen,-0.1851114415708261,False,False
4P,4P/Faye,4P_1851,1851,1851-04-02,10.426564315499034,True,expected_seen,4.82462548568739,False,False
5D,5D/Brorsen,5D_1879,1879,1879-03-31,5.666210687876444,True,expected_seen,5.416691744133011,False,False
5D,5D/Brorsen,5D_1873,1873,1873-10-10,6.11256001825253,True,expected_seen,-1.5290124170438126,False,False
5D,5D/Brorsen,5D_1868,1868,1868-04-17,6.1018270931032665,True,expected_seen,4.3280279725778925,False,False
5D,5D/Brorsen,5D_1857,1857,1857-03-29,5.903110064455884,True,expected_seen,2.9671943504121887,False,False
6P,6P/d'Arrest,6P_1923,1923,1923-09-15,9.457423358245151,True,expected_seen,7.23868678484123,True,False
